#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2023 12 02 18 26  1.8  0.5 10.5  1.7  9.1 NNE NNE    AVERAGE  6.5  21
2023 12 02 17 56  1.7  0.4 10.5  1.7  9.1 NNE NNE    AVERAGE  6.4  14
2023 12 02 17 26  1.8  0.5 10.5  1.8  9.1 NNE NNE    AVERAGE  6.4  19
2023 12 02 16 56  1.9  0.5 10.5  1.8  9.1 NNE NNE    AVERAGE  6.5  21
2023 12 02 16 26  1.6  0.5 10.5  1.6  9.9 NNE   N    AVERAGE  6.6   8
2023 12 02 15 56  1.6  0.5 10.5  1.5  9.1 NNE NNE    AVERAGE  6.5  17
2023 12 02 15 26  1.6  0.4 11.1  1.5  9.1 NNE   N    AVERAGE  6.4  11
2023 12 02 14 56  1.6  0.4 10.5  1.6  9.1   N   N    AVERAGE  6.7  10
2023 12 02 14 26  1.6  0.4 10.5  1.6  9.9 NNE   N    AVERAGE  6.7   8
2023 12 02 13 56  1.6  0.4 11.1  1.6  9.1   N NNE    AVERAGE  6.7  12
2023 12 02 13 26  1.4  0.5 10.5  1.4  9.1 NNE NNE    AVERAGE  6.3  12
2023 12 02 12 56  1.5  0.5 10.5  1.4  9.9 NNE   N    AVERAGE  6.7  11
2023 12 02 12 26  1.4  0.5 10.5  1.4  9.1 NNE   N    AVERAGE  6.6  10
2023 12 02 11 56  1.5  0.5 10.5  1.5  9.1   N   N    AVERAGE  6.5   8
2023 12 02 11 26  1.4  0.5 10.5  1.4  9.1 NNE   N    AVERAGE  6.5  10
2023 12 02 10 56  1.4  0.4 10.5  1.4  9.1   N   N    AVERAGE  6.4   1
2023 12 02 10 26  1.5  0.5 10.5  1.4  9.1   N   N    AVERAGE  6.4  10
2023 12 02 09 56  1.3  0.4 10.5  1.3  9.9   N NNE    AVERAGE  5.9  12
2023 12 02 09 26  1.3  0.5 10.5  1.3  9.1   N   N    AVERAGE  6.1   1
2023 12 02 08 56  1.4  0.5 10.5  1.4  9.1   N   N    AVERAGE  6.4   2
2023 12 02 08 26  1.4  0.6 10.5  1.3  9.9   N   N    AVERAGE  6.5 360
2023 12 02 07 56  1.3  0.4 10.5  1.2  9.1   N   N    AVERAGE  5.6 360
2023 12 02 07 26  1.3  0.5 10.5  1.2  9.9   N   N    AVERAGE  6.0   8
2023 12 02 06 56  1.3  0.5 10.5  1.3  9.9   N   N    AVERAGE  5.9 354
2023 12 02 06 26  1.3  0.4 11.1  1.2  9.1   N   N    AVERAGE  5.8   1
2023 12 02 05 56  1.2  0.5 10.5  1.1  9.1 NNE   N    AVERAGE  5.7  19
2023 12 02 05 26  1.4  0.6 11.1  1.3  9.9 NNE   N    AVERAGE  6.0  12
2023 12 02 04 56  1.4  0.6 11.1  1.2  9.9   N   N    AVERAGE  6.1   8
2023 12 02 04 26  1.3  0.5 10.5  1.2  5.6   N ENE    AVERAGE  5.8 360
2023 12 02 03 56  1.4  0.7 11.1  1.2  9.9   N   N    AVERAGE  6.2   5
2023 12 02 03 26  1.4  0.7 11.1  1.2  9.1   N   N    AVERAGE  6.1 358
2023 12 02 02 56  1.2  0.5 10.5  1.2  5.9   N ENE    AVERAGE  5.6   7
2023 12 02 02 26  1.3  0.5 11.1  1.2  5.6   N  NE    AVERAGE  5.8   2
2023 12 02 01 56  1.3  0.5 11.1  1.2  9.9   N   N    AVERAGE  5.6 360
2023 12 02 01 26  1.4  0.6 11.1  1.3  5.9   N  NE    AVERAGE  5.8   5
2023 12 02 00 56  1.3  0.6 11.1  1.2  5.9   N ENE    AVERAGE  5.8 355
2023 12 02 00 26  1.5  0.7 11.1  1.4  6.2   N  NE    AVERAGE  5.9   2
2023 12 01 23 56  1.4  0.6 11.8  1.2  9.9   N   N    AVERAGE  5.7   4
2023 12 01 23 26  1.4  0.7 10.5  1.3  5.9   N  NE    AVERAGE  5.7 358
2023 12 01 22 56  1.4  0.6 10.5  1.3  5.3   N ENE    AVERAGE  5.3 354
2023 12 01 22 26  1.4  0.6 11.1  1.3  5.6   N ENE VERY_STEEP  5.4  60
2023 12 01 21 56  1.4  0.6 10.5  1.3  5.6   N ENE VERY_STEEP  5.5  57
2023 12 01 21 26  1.4  0.7 10.5  1.2  5.9   N ENE    AVERAGE  5.5 357
2023 12 01 20 56  1.4  0.6 11.1  1.2  5.6   N  NE    AVERAGE  5.4   5
2023 12 01 20 26  1.4  0.5 11.1  1.3  9.9   N   N    AVERAGE  5.2 357
2023 12 01 19 56  1.5  0.7 11.8  1.3  5.9   N  NE    AVERAGE  5.4 357
2023 12 01 19 26  1.5  0.7 11.8  1.3  5.6   N ENE    AVERAGE  5.4 354
2023 12 01 18 56  1.4  0.6 11.8  1.3  5.6   N  NE VERY_STEEP  5.2  52
2023 12 01 18 26  1.3  0.6 12.5  1.2  6.2   N  NE    AVERAGE  5.2  10
2023 12 01 17 56  1.4  0.7 11.1  1.2  9.9   N NNE    AVERAGE  5.5   7
2023 12 01 17 26  1.4  0.6 11.8  1.3  5.9   N ENE    AVERAGE  5.3   5
2023 12 01 16 56  1.4  0.6 12.5  1.2  5.9   N ENE    AVERAGE  5.3   8
2023 12 01 16 26  1.3  0.6 11.8  1.2  9.9   N   N    AVERAGE  5.3   4
2023 12 01 15 56  1.4  0.7 11.1  1.2  5.9   N ENE    AVERAGE  5.6   2
2023 12 01 15 26  1.4  0.6 12.5  1.2  5.9   N ENE    AVERAGE  5.6   7
2023 12 01 14 56  1.2  0.5 11.1  1.1  5.9   N ENE    AVERAGE  5.4 355
2023 12 01 14 26  1.3  0.7 11.8  1.1  5.9   N  NE    AVERAGE  5.8   5
2023 12 01 13 56  1.3  0.6 12.5  1.2  5.9   N ENE      STEEP  5.8  57
2023 12 01 13 26  1.4  0.6 12.5  1.2  5.6   N  NE VERY_STEEP  5.6  55
2023 12 01 12 56  1.3  0.6 12.5  1.2  5.6   N ENE    AVERAGE  5.6   4
2023 12 01 12 26  1.2  0.5 13.3  1.1  5.6   N  NE VERY_STEEP  5.5  55
2023 12 01 11 56  1.2  0.4 12.5  1.1  5.9   N ENE      STEEP  5.4  60
2023 12 01 11 26  1.2  0.4 11.8  1.2  5.9 NNE ENE      STEEP  5.3  59
2023 12 01 10 56  1.2  0.5 11.8  1.1  5.9 NNW ENE      STEEP  5.4  64
2023 12 01 10 26  1.2  0.4 13.3  1.1  5.9   N ENE      STEEP  5.2  57
2023 12 01 09 56  1.2  0.4 14.3  1.1  5.6   N ENE      STEEP  5.3  66
2023 12 01 09 26  1.1  0.3 13.3  1.0  6.2   N  NE      STEEP  5.1  52
2023 12 01 08 56  1.1  0.3 13.3  1.0  5.9   N ENE      STEEP  5.2  59
2023 12 01 08 26  1.1  0.3 13.3  1.1  5.6   N ENE      STEEP  5.2  60
2023 12 01 07 56  1.1  0.3 14.3  1.1  5.6   N ENE      STEEP  5.2  62
